timestamp,message
1682988895151,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:57:22.444960Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.5:47927 10.0.0.103:32790 0.000 0.002 0.000 401 401 757 682 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/news HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c82-72def31d79de21d6768fc522"" ""-"" ""-"" 1 2023-05-01T01:57:22.442000Z ""forward"" ""-"" ""-"" ""10.0.0.103:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:57:22.444960Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.5', 'client_port': '47927', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.000', 'target_processing_time': '0.002', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
1682988895358,"[INFO]	2023-05-02T00:54:55.357Z	55d0d608-060b-4441-98da-70b544ce9836	INFO: Successfully inserted element into ES
"
1682988895358,"[INFO]	2023-05-02T00:54:55.358Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'Nv_02YcBHSUlyCZljNRg', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1544, '_primary_term': 1}
"
1682988895358,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:57:24.305296Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.5:47927 10.0.0.103:32790 0.000 0.002 0.000 401 401 757 682 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/news HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c84-2efc3d53491b4d303dfedaaf"" ""-"" ""-"" 1 2023-05-01T01:57:24.303000Z ""forward"" ""-"" ""-"" ""10.0.0.103:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:57:24.305296Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.5', 'client_port': '47927', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.000', 'target_processing_time': '0.002', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
1682988895539,"[INFO]	2023-05-02T00:54:55.538Z	55d0d608-060b-4441-98da-70b544ce9836	INFO: Successfully inserted element into ES
"
1682988895539,"[INFO]	2023-05-02T00:54:55.539Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'av_02YcBHSUlyCZljdQa', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1660, '_primary_term': 1}
"
1682988895539,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:57:25.298946Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.5:47927 10.0.0.103:32790 0.000 0.002 0.000 401 401 757 682 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/news HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c85-2e6849272278245d6b5c8b3d"" ""-"" ""-"" 1 2023-05-01T01:57:25.297000Z ""forward"" ""-"" ""-"" ""10.0.0.103:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:57:25.298946Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.5', 'client_port': '47927', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.000', 'target_processing_time': '0.002', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
1682988895728,"[INFO]	2023-05-02T00:54:55.720Z	55d0d608-060b-4441-98da-70b544ce9836	INFO: Successfully inserted element into ES
"
1682988895729,"[INFO]	2023-05-02T00:54:55.729Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'if_02YcBHSUlyCZljdTA', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1571, '_primary_term': 1}
"
1682988895729,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:57:26.463516Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.5:47927 10.0.0.103:32790 0.000 0.002 0.000 401 401 757 682 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/news HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c86-416706ea6a33eaa6110e42f4"" ""-"" ""-"" 1 2023-05-01T01:57:26.461000Z ""forward"" ""-"" ""-"" ""10.0.0.103:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:57:26.463516Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.5', 'client_port': '47927', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.000', 'target_processing_time': '0.002', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
